Talents,Description,Prerequisite
A Machine of Flesh,Gain benefits of chosen mutation trait,
Abhor the Witch,Spend Fate point for duration of mission to gain Resistance (Psychic powers),"Adeptus Astartes, Psy Rating 0"
Acolyte Network,"Reduce influence by 5, cell can attempt missions or act as resource",
Aetheric Resonator,Activate with -10 Toughness test. Treat as hexogramatically warded for TB rounds.,Tech-Priest (Potentia Coil/Electro Conductor)
Air of Authority,Affect 1d10+Fel targets with Command,Fel 30
Ally of the Departmento Munitorum,"Re-roll failed influence tests for requisition with Imperial Guard, Navy or PDF.",
Ambidextrous,Use either hand equally well,Ag 30
Ancestral Blessing,Once per day make WP test to gain +2 melee damage for WP bonus rounds,Shamanic powers
Anima Aura,Half action to gain Stuff of nightmares trait for 1d10+TB rounds. Take 1d5 Insanity + 1 Fatigue,Tech-Priest (Potentia Coil)
Armour of contempt,Resistant to corruption,WP 40
Armour-Monger,Spend an hour to bless your armour giving it +2 AP,Techmarine
Arms Master,Use untrained ranged weapons at -10 instead of -20,BS 30
Ascended Psychic Power,Access to Rank 1 Ascended power,Psy Rating
Assassin Strike,Possible move after attack,"Ag 40, Acrobatics"
Astartes Weapon Specialisation (specific),Penalty for chosen weapon use can never be worse than -30,Astartes Weapon Training
Astartes Weapon Training,Proficient with all non exotic weapons,Adeptus Astartes
Autosanguine,Heals 2/day and always lightly wounded,
Basic Training (Bolt),Trained to use Basic Bolt weapons,
Basic Training (Flame),Trained to use Basic Flame weapons,
Basic Training (Las),Trained to use Basic Las weapons,
Basic Training (Launcher),Trained to use Basic Launcher weapons,
Basic Training (Melta),Trained to use Basic Melta weapons,
Basic Training (Plasma),Trained to use Basic Plasma weapons,
Basic Training (Primitive),Trained to use Basic Primitive weapons,
Basic Training (SP),Trained to use Basic SP weapons,
Basic Training (Universal),"Bolt, Las, Launcher, Melta,Plasma,SP",
Basic Weapon Expertise,Proficient with all (non exotic) basic weapons,
Bastion of Iron Will,Doubles defensive Psy bonus,"Psy rating, strong minded, WP 40"
Battle Rage,Parry when Frenzied,Frenzy
Beast Hunter,Gain +3 damage to critical hits to creatures hulking or larger.,"WS 35, BS 35"
Berserk Charge,+20 WS on charge,
Berserker,"Battle Rage, Berserk Charge, Frenzy, Furious Assault","WS 50, S 40"
Best of the best,Win opposed pilot rolls if tied number of successes. Same for interaction tests with Navy,"Pilot (Flyers/Space craft) +20, Pilot (Personal) +10"
Binary Chatter,"+10 to comms with servitors, +1 Crew Morale",
Blade Dancer,"Assassin's Strike, Blade Master, Combat Master, Counter Attack, Wall of Steel","Ag 40, WS 40, Acrobatics"
Blademaster,Re-roll missed bladed attack once per round,"WS 30, Melee Weapon Training(any)"
Blessed Ignorance,Cannot look at foes that create fear effects or give insanity or corruption,"Pure Faith, Holy Radiance"
Blessed Radiance,Extends faith powers to allies,"Purge the Unclean, Divine Ministration, The Emperor protects or Wrath of the Righteous"
Blind Fighting,Halve penalties when vision obscured,Per 30
Blood of the Stalker,"Make WP test to gain bonus success to concealment, shadowing and silent move tests",Shamanic powers
Bloodtracker,Receive benefits from capturing bounties,
Bolter Drill,Increase rate of fire by 1 for semi and full-auto fire of personal bolt weapons,Astartes Weapon Training
Brutal Charge,Gain +3 damage on a charge,
Bulging Biceps,Remove some bracing requirements,S 45
Burden of Guilt,Those with lower willpower must make WP check when lying to avoid coughing,Pure Faith
Call of Iron,"Ferric Lure, Ferric Summons",Mechanicus Implants
Call to Vengeance,Spend fate point when squad member is killed to restore Squad Cohesion,"Adeptus Astartes, Fel 40"
Catfall,Reduce falling damage,Ag 30
Chain Knives,Hidden Weapon Implant,Mechanicus Implants
Chain Weapon Expert,Reduced damage when hitting self with chain weapons,Melee Training (Chain)
Chem Geld,"Immune to seduction, resistance to charm",
