A fury like Lightning,Power armour gives +5 Ag and +1 initiative
A ghost in the warp,Once per session cast without trace
A taste for the warp,"Spend fate to succeed in using a Navigator power, 1d5 degrees of success"
Accustomed to crowds,Crowds are not difficult terrain
Against all odds,May re-roll when using fate to heal 1d5 wounds
Ancestral Seal,You own an ancestral Heirloom
Angevin Era Chainsword,You own an ancestral Heirloom
Archeotech Laspistol,You own an ancestral Heirloom
'Ard,Gain unnatural toughness x 2. Medicae tests have +20 bonus
Armour-Monger,Spend 1 hour to bless armour granting +2 AP to all locations covered.
Bad Moons,Gain +20 on Barter tests with Orks and +10 to acquisition tests with Ork traders or to obtain Ork equipment
Barren World,Take -5 penalty on perception tests involving sight
Battle Hardened,Choose bonus ability at start of each mission (RB Pg 132)
Battlefleet Officer,Gain +5 to command tests aboard any spacecraft
Black Shield,May use any chapter specific Squad mode ability but has no solo mode ability. May spend fate for various effects
Blessed Ignorance,All forbidden lore test are at -5
Bold Hunter,Gain +5 bonus to wrangling and +10 bonus to resist fear or pinning
Bolter Mastery,Solo Mode: Gain +10 BS and +2 Damage when firing a bolt weapon
Bring death from afar,Power armour allows movement during semi/full auto fire without incurring normal penalties.
Brook no insult,WP check to avoid violence when insulted
Chapter Flaw,
Charmed,10% chance to not lose fate point
Close-Quarter Fighter,"Gain +5 WS with back to a wall. If ""dirtside"", -1 initiative, -10 BS on long range or greater"
Cold-souled and Hungry,Suffer -5 penalty on social interaction tests
Combat Focus,Suffer -5 Fel when talking about subjects other than combat
Command and Control,Gain special abilites when Kill-team leader (RB Pg 128)
Condemned as a Heretic,"Seen as contemptible by the Ecclesiarchy, cannot draw on favours from membership of the sisterhood"
Conditioning,Immune to Fellowship affects. Control attempts are at -20 (or +20 to resist)
Conviction of Strength,Halve (round down) all insanity gained
Cower Not before the Enemy,Power armour grants +10 to command tests and -20 to silent move and concealment.
Create Toxins,Once per day create toxin to coat squad's weapons. They gain toxic quality of Int Bonus rounds
Criminal,"Suffer -20 Fel with Adeptus Arbites, Ecclesiarchy, Enforcers and Military if home world is known"
Cult of Blood,All melee weapons gain +1 Pen. Auto confirm Righteous fury with melee weapons
Cult of Death,Once per combat activate righteous fury on the 7 or higher. +1 damage to criticals with melee weapons
Cult of Pain,Once per session ignore all effects of a single hit. -1 damage when critically hit
Cunning Hybrid,Gain +10 to Barter and Deceive. Gain +1 to initiative
Cyclopaedic Learning,Master a single Lore skill. All tests on this skill auto succeed (roll 01).
Death is Joy,Power armour add 2 to all critical damage inflicted and 1 extra damage to hordes
Dental Probes,Sanctioning resulted in you losing all your teeth. You have a set of dentures made from pilgrims
Dreadnought,"Auto-stabilised, Engine of War, Size (Enormous), Sturdy, Weight of years, Str 70, Ag 20"
Drop Trooper,Gain +10 to drive skills and auto succeed tests to deploy chutes.
Duty to the throne,-10 on interraction with sources outside the imperium
Dynastic Warrant,Gain +3 ship points
Eater of the dead,"Gain wounds equal to TB of eaten creature, heal at twice normal rate and gain extra point when healed"
Enhance Healing,Heal an extra 1d5 wounds with successful medicae test
Etiquette,+10 interaction in formal or situation or high authority
Exalted lineage,Gain +10 to interaction skill tests with Imperial nobility
Exceptional Leader,Grant +10 to any test to ally in sight
Face of the Enemy ,Never deal with chosen enemy or suffer -10 Fel. WP test to avoid provocation
Failsafe Control,Triggered command to follow instructions (See Pg 178 DH)
Favoured of the Emperor,Daemons must make WP check to attack Hierophant. Once per session ignore corruption gain.
Feared and Loathed,"When in uniform, gain +10 to inquiry and intimidate and -10 Charm and Command with Imperial Guard and PDF"
Field Commander,Give allies +2 initiative and re-roll chance for ballistics test once per combat
Fieldcraft,"Gain +10 to concealment, shadowing and silent move. Treat forests and jungles as open terrain"
Forget nothing,Power armour grants one Hatred talent when worn.
Former Heathen,Any  Imperial Creed rolls failed by more than 2 degrees results in social or perilous outcome
From Beyond,"Immune to fear, pinning, insanity points and mind affecting psychic powers"
Gene-Seed Deficiencies,
Gene-Seed Protector,Gain +10 Kill Markers for successful missions recovering or handling Gene-Seeds
